q95	q05	max	min	q33	q66	q50	q25	q75	abbrev_state
28.6782165527344	15.386534118652367	34.80214843750002	-0.08869018554685226	22.068170166015648	25.3478942871094	23.958215332031273	20.919396972656273	26.083642578125023	Brazil
27.48739318847658	22.80969696044924	31.012384033203148	13.992272949218773	24.628289794921898	25.660100708007835	25.133477783203148	24.354455566406273	26.01288757324221	AC
27.904626464843773	21.762414550781273	32.77849731445315	18.600183105468773	24.029962158203148	25.859918212890648	25.0205017089844	23.51683197021487	26.32037506103518	AL
28.394729614257834	24.179598999023458	33.06112060546877	17.981042480468773	25.32896087646487	26.319970703125023	25.812310791015648	25.092645263671898	26.680780029296898	AM
28.593937683105494	23.722930908203146	30.503503417968773	21.975488281250023	25.017785644531273	26.465065307617213	25.6462341308594	24.729043579101585	27.143052673339866	AP
27.804743957519555	19.992851257324244	33.99273071289065	14.041070556640648	22.915368652343773	25.1125427246094	24.083184814453148	22.3122497558594	25.7309509277344	BA
29.157434082031273	23.824365234375023	32.41045532226565	19.094812011718773	25.99401580810549	27.412598266601588	26.765420532226585	25.5766540527344	27.813142395019554	CE
25.87165679931643	19.415730285644557	29.577752685546898	15.962121582031273	21.431979370117208	22.974026489257838	22.229913330078148	21.006082153320335	23.542657470703148	DF
26.821389770507835	17.220971679687523	31.4631286621094	10.779534912109398	21.10281677246096	23.856814575195337	22.4909606933594	20.38569793701174	24.656411743164085	ES
28.756433105468773	20.993144226074243	34.17830810546877	11.301141357421898	23.451379394531273	25.351220703125023	24.398309326171898	22.967584228515648	25.995538330078148	GO
29.885243225097682	24.527281188964864	33.28914794921877	21.753350830078148	26.130670166015648	27.581658935546898	26.84388122558596	25.78560028076174	28.087609863281273	MA
26.615930175781273	16.152207946777366	34.54400024414065	6.705499267578148	20.292199707031273	23.039331054687523	21.757165527343773	19.472772216796898	23.823449707031273	MG
28.812783813476585	16.94996795654299	34.26412353515627	6.085717773437523	23.3312927246094	25.795831298828148	24.710534667968773	22.41551361083987	26.45666656494143	MS
29.305122375488303	22.553636169433616	34.2993103027344	10.596337890625025	24.85922332763674	26.357293701171898	25.612084960937523	24.46434173583987	26.88629302978518	MT
28.985818481445335	24.24427185058596	32.58706054687502	21.703942871093773	25.683404541015648	27.044396972656273	26.313745117187523	25.384454345703148	27.528161621093773	PA
29.154298400878933	22.362596130371116	32.08037719726565	19.172753906250023	24.650201416015648	26.244744873046898	25.491113281250023	24.1911560058594	26.736444091796898	PB
27.83766021728518	20.76627044677737	32.7071472167969	17.585656738281273	23.432153320312523	25.226831054687523	24.350366210937523	22.950128173828148	25.75647125244143	PE
31.4059997558594	24.43918304443362	34.38601074218752	20.7126403808594	26.536752624511742	28.624230957031273	27.54975280761721	26.073205566406273	29.296746826171898	PI
26.7844177246094	13.253840637207055	32.42476806640627	0.6685424804687727	19.3137145996094	22.873529663085964	21.269876098632835	18.187303161621116	23.784883117675804	PR
27.204670715332053	16.745329284667992	32.24514160156252	9.780664062500025	20.586706237792992	23.555718994140648	22.118829345703148	19.79174957275393	24.44965515136721	RJ
29.285664367675803	24.023832702636742	31.861749267578148	20.176202392578148	25.94190032958987	27.2084899902344	26.595269775390648	25.556573486328148	27.663201904296898	RN
28.592514038085966	23.344511413574242	31.606866455078148	14.113336181640648	24.9628845214844	26.124198608398462	25.51795349121096	24.674661254882835	26.595788574218773	RO
28.817140197753933	22.876048278808618	32.23723754882815	20.0353942871094	24.63793548583987	26.120062866210958	25.33374938964846	24.29158172607424	26.66694030761721	RR
25.695886230468773	9.987786865234398	33.0253845214844	0.7668395996093977	17.006677246093773	21.269738769531273	19.325128173828148	15.707391357421898	22.351495361328148	RS
24.886239624023464	10.804467773437525	31.127008056640648	-0.08869018554685226	16.971337890625023	20.740533447265648	18.975564575195335	15.858728027343773	21.730432128906273	SC
27.769468688964867	22.1701599121094	32.2504821777344	19.765252685546898	24.2922302246094	26.139194946289088	25.351785278320335	23.74031219482424	26.530145263671898	SE
27.445397949218773	15.884878540039086	34.80214843750002	4.692712402343773	20.950646972656273	24.051621704101585	22.658837890625023	19.957360839843773	24.8310485839844	SP
30.26903533935549	24.172236633300805	34.31658325195315	19.602136230468773	25.958093261718773	27.494891967773462	26.712304687500023	25.5837341308594	28.027307128906273	TO
28.963891601562523	20.679026794433618	34.2993103027344	6.085717773437523	23.889093017578148	25.8044372558594	24.884667968750023	23.339288330078148	26.405175781250023	Center-West
29.319146728515648	23.9113708496094	34.31658325195315	13.992272949218773	25.472833251953148	26.865319824218773	26.129846191406273	25.154656982421898	27.389520263671898	North
29.53852081298828	21.493188476562523	34.38601074218752	14.041070556640648	24.769433593750023	26.678338623046898	25.800195312500023	24.1572204589844	27.240655517578148	Northeast
26.021730041503933	11.033921813964866	33.0253845214844	-0.08869018554685226	17.735284423828148	21.733117675781273	19.923669433593773	16.518457031250023	22.755181884765648	South
27.032991027832054	16.133172607421898	34.80214843750002	4.692712402343773	20.5715270996094	23.496636962890648	22.129113769531273	19.70027313232424	24.310021972656273	Southeast
